Date,Open,High,Low,Close
04/19/2022,"2.946%","3.021%","2.930%","3.001%"
04/18/2022,"2.920%","2.969%","2.903%","2.946%"
04/15/2022,"2.920%","2.920%","2.920%","2.920%"
04/14/2022,"2.814%","2.933%","2.772%","2.920%"
04/13/2022,"2.816%","2.869%","2.765%","2.814%"
04/12/2022,"2.810%","2.858%","2.761%","2.826%"
04/11/2022,"2.723%","2.840%","2.723%","2.810%"
04/08/2022,"2.684%","2.763%","2.649%","2.696%"
04/07/2022,"2.632%","2.720%","2.593%","2.640%"
04/06/2022,"2.576%","2.679%","2.576%","2.632%"
04/05/2022,"2.458%","2.604%","2.457%","2.576%"
04/04/2022,"2.437%","2.506%","2.436%","2.458%"
04/01/2022,"2.452%","2.547%","2.414%","2.437%"
03/31/2022,"2.478%","2.493%","2.433%","2.452%"
03/30/2022,"2.505%","2.547%","2.455%","2.478%"
03/29/2022,"2.551%","2.607%","2.484%","2.505%"
03/28/2022,"2.589%","2.649%","2.520%","2.551%"
03/25/2022,"2.542%","2.638%","2.499%","2.589%"
03/24/2022,"2.485%","2.577%","2.485%","2.542%"
03/23/2022,"2.603%","2.641%","2.468%","2.485%"
03/22/2022,"2.518%","2.609%","2.516%","2.603%"
03/21/2022,"2.427%","2.555%","2.422%","2.518%"
03/18/2022,"2.471%","2.488%","2.409%","2.427%"
03/17/2022,"2.459%","2.503%","2.362%","2.471%"
03/16/2022,"2.481%","2.539%","2.437%","2.459%"
03/15/2022,"2.478%","2.504%","2.426%","2.481%"
03/14/2022,"2.357%","2.486%","2.357%","2.478%"
03/11/2022,"2.369%","2.394%","2.338%","2.357%"
03/10/2022,"2.341%","2.404%","2.300%","2.369%"
03/09/2022,"2.226%","2.341%","2.222%","2.341%"
03/08/2022,"2.196%","2.265%","2.161%","2.226%"
03/07/2022,"2.161%","2.209%","2.106%","2.196%"
03/04/2022,"2.229%","2.229%","2.126%","2.161%"
03/03/2022,"2.254%","2.270%","2.202%","2.229%"
03/02/2022,"2.105%","2.283%","2.096%","2.254%"
03/01/2022,"2.164%","2.204%","2.065%","2.105%"
02/28/2022,"2.277%","2.277%","2.152%","2.164%"
02/25/2022,"2.282%","2.325%","2.244%","2.277%"
02/24/2022,"2.299%","2.300%","2.158%","2.282%"
02/23/2022,"2.241%","2.308%","2.241%","2.299%"
02/22/2022,"2.245%","2.270%","2.179%","2.241%"
02/21/2022,"2.245%","2.245%","2.245%","2.245%"
02/18/2022,"2.298%","2.325%","2.238%","2.245%"
02/17/2022,"2.349%","2.352%","2.271%","2.298%"
02/16/2022,"2.362%","2.387%","2.313%","2.349%"
02/15/2022,"2.287%","2.373%","2.267%","2.362%"
02/14/2022,"2.251%","2.328%","2.207%","2.287%"
02/11/2022,"2.310%","2.354%","2.232%","2.251%"
02/10/2022,"2.248%","2.341%","2.221%","2.323%"
02/09/2022,"2.258%","2.260%","2.211%","2.248%"
02/08/2022,"2.219%","2.271%","2.219%","2.258%"
02/07/2022,"2.214%","2.248%","2.191%","2.219%"
02/04/2022,"2.157%","2.240%","2.120%","2.214%"
02/03/2022,"2.113%","2.186%","2.093%","2.157%"
02/02/2022,"2.115%","2.136%","2.061%","2.113%"
02/01/2022,"2.111%","2.152%","2.065%","2.115%"
01/31/2022,"2.076%","2.126%","2.076%","2.111%"
01/28/2022,"2.096%","2.142%","2.072%","2.076%"
01/27/2022,"2.168%","2.168%","2.073%","2.096%"
01/26/2022,"2.120%","2.187%","2.108%","2.168%"
01/25/2022,"2.114%","2.140%","2.066%","2.120%"
01/24/2022,"2.081%","2.121%","2.032%","2.114%"
01/21/2022,"2.120%","2.120%","2.052%","2.081%"
01/20/2022,"2.179%","2.179%","2.118%","2.120%"
01/19/2022,"2.193%","2.217%","2.138%","2.179%"
01/18/2022,"2.125%","2.202%","2.121%","2.193%"
01/16/2022,"2.125%","2.125%","2.125%","2.125%"
01/14/2022,"2.039%","2.132%","2.039%","2.125%"
01/13/2022,"2.088%","2.103%","2.030%","2.039%"
01/12/2022,"2.072%","2.098%","2.045%","2.088%"
01/11/2022,"2.093%","2.103%","2.062%","2.072%"
01/10/2022,"2.120%","2.151%","2.085%","2.093%"
01/07/2022,"2.079%","2.147%","2.067%","2.120%"
01/06/2022,"2.102%","2.139%","2.075%","2.079%"
01/05/2022,"2.071%","2.106%","2.040%","2.102%"
01/04/2022,"2.024%","2.103%","2.010%","2.071%"
01/03/2022,"1.906%","2.042%","1.906%","2.024%"
12/31/2021,"1.918%","1.937%","1.887%","1.906%"
12/30/2021,"1.964%","1.971%","1.911%","1.918%"
12/29/2021,"1.904%","1.972%","1.890%","1.964%"
12/28/2021,"1.887%","1.918%","1.854%","1.904%"
12/27/2021,"1.908%","1.908%","1.877%","1.887%"
12/23/2021,"1.851%","1.914%","1.847%","1.908%"
12/22/2021,"1.864%","1.892%","1.849%","1.851%"
12/21/2021,"1.855%","1.929%","1.839%","1.864%"
12/20/2021,"1.814%","1.861%","1.760%","1.855%"
12/17/2021,"1.856%","1.869%","1.809%","1.814%"
12/16/2021,"1.864%","1.903%","1.844%","1.856%"
12/15/2021,"1.829%","1.879%","1.812%","1.864%"
12/14/2021,"1.801%","1.868%","1.801%","1.829%"
12/13/2021,"1.882%","1.902%","1.798%","1.801%"
12/10/2021,"1.878%","1.889%","1.838%","1.882%"
12/09/2021,"1.896%","1.905%","1.843%","1.878%"
12/08/2021,"1.807%","1.901%","1.754%","1.798%"
12/07/2021,"1.773%","1.812%","1.750%","1.807%"
12/06/2021,"1.679%","1.776%","1.679%","1.670%"
12/03/2021,"1.765%","1.793%","1.665%","1.679%"
12/02/2021,"1.745%","1.788%","1.736%","1.765%"
12/01/2021,"1.796%","1.846%","1.738%","1.745%"
11/30/2021,"1.855%","1.879%","1.780%","1.796%"
11/29/2021,"1.829%","1.909%","1.829%","1.855%"
11/26/2021,"1.965%","1.965%","1.825%","1.829%"
11/25/2021,"1.965%","1.965%","1.965%","1.972%"
11/24/2021,"2.026%","2.038%","1.956%","2.025%"
11/23/2021,"1.964%","2.044%","1.962%","2.026%"
11/22/2021,"1.915%","1.988%","1.901%","1.909%"
11/19/2021,"1.974%","1.994%","1.903%","1.915%"
11/18/2021,"1.979%","1.999%","1.962%","1.997%"
11/17/2021,"2.031%","2.050%","1.967%","1.979%"
11/16/2021,"1.997%","2.037%","1.969%","2.031%"
11/15/2021,"1.934%","2.025%","1.916%","1.953%"
11/12/2021,"1.910%","1.968%","1.898%","1.934%"
11/10/2021,"1.822%","1.948%","1.819%","1.910%"
11/09/2021,"1.888%","1.888%","1.796%","1.822%"
11/08/2021,"1.888%","1.920%","1.881%","1.888%"
11/05/2021,"1.966%","1.988%","1.872%","1.888%"
11/04/2021,"2.021%","2.036%","1.946%","1.966%"
11/03/2021,"1.963%","2.035%","1.924%","2.021%"
11/02/2021,"1.960%","1.984%","1.936%","1.963%"
11/01/2021,"1.934%","2.000%","1.923%","1.960%"
10/29/2021,"1.985%","2.025%","1.924%","1.934%"
10/28/2021,"1.955%","1.985%","1.925%","1.985%"
10/27/2021,"2.041%","2.065%","1.932%","1.955%"
10/26/2021,"2.085%","2.097%","2.038%","2.041%"
10/25/2021,"2.072%","2.124%","2.072%","2.085%"
10/22/2021,"2.151%","2.151%","2.066%","2.072%"
10/21/2021,"2.134%","2.159%","2.103%","2.151%"
10/20/2021,"2.090%","2.140%","2.078%","2.134%"
10/19/2021,"2.039%","2.095%","2.009%","2.090%"
10/18/2021,"2.042%","2.083%","2.009%","2.039%"
10/15/2021,"2.020%","2.071%","2.020%","2.042%"
10/14/2021,"2.031%","2.075%","2.013%","2.020%"
10/13/2021,"2.100%","2.109%","2.030%","2.031%"
10/12/2021,"2.166%","2.173%","2.085%","2.100%"
10/10/2021,"2.166%","2.166%","2.166%","2.166%"
10/08/2021,"2.135%","2.179%","2.124%","2.166%"
10/07/2021,"2.082%","2.138%","2.063%","2.135%"
10/06/2021,"2.100%","2.149%","2.059%","2.082%"
10/05/2021,"2.045%","2.110%","2.031%","2.100%"
10/04/2021,"2.031%","2.084%","2.023%","2.045%"
10/01/2021,"2.045%","2.080%","2.030%","2.031%"
09/30/2021,"2.064%","2.104%","2.043%","2.045%"
09/29/2021,"2.089%","2.110%","2.040%","2.064%"
09/28/2021,"1.999%","2.101%","1.986%","2.089%"
09/27/2021,"1.986%","2.043%","1.973%","1.999%"
