Date,Open,High,Low,Close
1/24/2022,2.08%,2.12%,2.03%,2.11%
1/21/2022,2.12%,2.12%,2.05%,2.08%
1/20/2022,2.18%,2.18%,2.12%,2.12%
1/19/2022,2.19%,2.22%,2.14%,2.18%
1/18/2022,2.13%,2.20%,2.12%,2.19%
1/16/2022,2.13%,2.13%,2.13%,2.13%
1/14/2022,2.04%,2.13%,2.04%,2.13%
1/13/2022,2.09%,2.10%,2.03%,2.04%
1/12/2022,2.07%,2.10%,2.05%,2.09%
1/11/2022,2.09%,2.10%,2.06%,2.07%
1/10/2022,2.12%,2.15%,2.09%,2.09%
1/7/2022,2.08%,2.15%,2.07%,2.12%
1/6/2022,2.10%,2.14%,2.08%,2.08%
1/5/2022,2.07%,2.11%,2.04%,2.10%
1/4/2022,2.02%,2.10%,2.01%,2.07%
1/3/2022,1.91%,2.04%,1.91%,2.02%
12/31/2021,1.92%,1.94%,1.89%,1.91%
12/30/2021,1.96%,1.97%,1.91%,1.92%
12/29/2021,1.90%,1.97%,1.89%,1.96%
12/28/2021,1.89%,1.92%,1.85%,1.90%
12/27/2021,1.91%,1.91%,1.88%,1.89%
12/23/2021,1.85%,1.91%,1.85%,1.91%
12/22/2021,1.86%,1.89%,1.85%,1.85%
12/21/2021,1.86%,1.93%,1.84%,1.86%
12/20/2021,1.81%,1.86%,1.76%,1.86%
12/17/2021,1.86%,1.87%,1.81%,1.81%
12/16/2021,1.86%,1.90%,1.84%,1.86%
12/15/2021,1.83%,1.88%,1.81%,1.86%
12/14/2021,1.80%,1.87%,1.80%,1.83%
12/13/2021,1.88%,1.90%,1.80%,1.80%
12/10/2021,1.88%,1.89%,1.84%,1.88%
12/9/2021,1.90%,1.91%,1.84%,1.88%
12/8/2021,1.81%,1.90%,1.75%,1.80%
12/7/2021,1.77%,1.81%,1.75%,1.81%
12/6/2021,1.68%,1.78%,1.68%,1.67%
12/3/2021,1.77%,1.79%,1.67%,1.68%
12/2/2021,1.75%,1.79%,1.74%,1.77%
12/1/2021,1.80%,1.85%,1.74%,1.75%
11/30/2021,1.86%,1.88%,1.78%,1.80%
11/29/2021,1.83%,1.91%,1.83%,1.86%
11/26/2021,1.97%,1.97%,1.83%,1.83%
11/25/2021,1.97%,1.97%,1.97%,1.97%
11/24/2021,2.03%,2.04%,1.96%,2.03%
11/23/2021,1.96%,2.04%,1.96%,2.03%
11/22/2021,1.92%,1.99%,1.90%,1.91%
11/19/2021,1.97%,1.99%,1.90%,1.92%
11/18/2021,1.98%,2.00%,1.96%,2.00%
11/17/2021,2.03%,2.05%,1.97%,1.98%
11/16/2021,2.00%,2.04%,1.97%,2.03%
11/15/2021,1.93%,2.03%,1.92%,1.95%
11/12/2021,1.91%,1.97%,1.90%,1.93%
11/10/2021,1.82%,1.95%,1.82%,1.91%
11/9/2021,1.89%,1.89%,1.80%,1.82%
11/8/2021,1.89%,1.92%,1.88%,1.89%
11/5/2021,1.97%,1.99%,1.87%,1.89%
11/4/2021,2.02%,2.04%,1.95%,1.97%
11/3/2021,1.96%,2.04%,1.92%,2.02%
11/2/2021,1.96%,1.98%,1.94%,1.96%
11/1/2021,1.93%,2.00%,1.92%,1.96%
10/29/2021,1.99%,2.03%,1.92%,1.93%
10/28/2021,1.96%,1.99%,1.93%,1.99%
10/27/2021,2.04%,2.07%,1.93%,1.96%
10/26/2021,2.09%,2.10%,2.04%,2.04%
10/25/2021,2.07%,2.12%,2.07%,2.09%
10/22/2021,2.15%,2.15%,2.07%,2.07%
10/21/2021,2.13%,2.16%,2.10%,2.15%
10/20/2021,2.09%,2.14%,2.08%,2.13%
10/19/2021,2.04%,2.10%,2.01%,2.09%
10/18/2021,2.04%,2.08%,2.01%,2.04%
10/15/2021,2.02%,2.07%,2.02%,2.04%
10/14/2021,2.03%,2.08%,2.01%,2.02%
10/13/2021,2.10%,2.11%,2.03%,2.03%
10/12/2021,2.17%,2.17%,2.09%,2.10%
10/10/2021,2.17%,2.17%,2.17%,2.17%
10/8/2021,2.14%,2.18%,2.12%,2.17%
10/7/2021,2.08%,2.14%,2.06%,2.14%
10/6/2021,2.10%,2.15%,2.06%,2.08%
10/5/2021,2.05%,2.11%,2.03%,2.10%
10/4/2021,2.03%,2.08%,2.02%,2.05%
10/1/2021,2.05%,2.08%,2.03%,2.03%
9/30/2021,2.06%,2.10%,2.04%,2.05%
9/29/2021,2.09%,2.11%,2.04%,2.06%
9/28/2021,2.00%,2.10%,1.99%,2.09%
9/27/2021,1.99%,2.04%,1.97%,2.00%
